Diseases,Ayurvedic Formulations,Therapy,Precautions,Details
Chronic cholestasis(Yakritodara),"Triphala: Triphala is a traditional Ayurvedic formulation consisting of three fruits: Amalaki (Emblica officinalis), Bibhitaki (Terminalia bellirica), and Haritaki (Terminalia chebula). It has detoxifying and mild laxative properties and may support digestive health, which can indirectly benefit liver function.","Perform gentle self-massage (Abhyanga) using warm herbal oils such as castor oil or Mahanarayan oil to support liver detoxification and promote relaxation
Consider undergoing Panchakarma therapies such as Virechana (therapeutic purgation) or Basti (medicated enema) under the guidance of a qualified practitioner to remove toxins and excess Pitta from the body","1. Avoid fatty, fried, and processed foods
2. Limit alcohol consumption
3. Avoid Overeating
4. Stress Management
5. Maintain a Healthy Weight","Chronic cholestasis refers to a condition characterized by impaired bile flow from the liver, leading to the accumulation of bile acids and toxins in the liver and bloodstream."
Acne(Yauvan Pidika),"Manjistha (Rubia cordifolia): Manjistha is a blood-purifying herb that helps remove toxins from the body and promotes clear, healthy skin. Take Manjistha powder mixed with warm water or apply Manjistha paste topically on acne-prone areas.","Neem paste: Mix neem powder with water to form a paste and apply it to acne-prone areas to reduce inflammation and kill acne-causing bacteria
Chandan (sandalwood) paste: Mix sandalwood powder with water or rose water to form a paste and apply it to acne lesions to soothe inflammation and promote healing
Multani Mitti (Fuller's Earth) pack: Mix Fuller's Earth with rose water or plain water to form a paste and apply it as a face pack to absorb excess oil, unclog pores, and reduce acne","1. Avoid spicy, oily, and fried foods
2. Maintain Proper Hygiene
3. Avoid Heavy Cosmetics
4. Manage Stress
5. Exercise Regularly
6. Maintain Regular Sleep Patterns
7. Avoid Picking or Squeezing","Acne is a common skin condition characterized by the formation of pimples, blackheads, and whiteheads due to clogged hair follicles and excess oil production."
Malaria(Visham Jwara),"Mahasudarshan Churna: Mahasudarshan Churna is a classical Ayurvedic formulation that helps boost immunity and alleviate symptoms of fever. It contains a combination of herbs such as neem, guduchi, and Triphala. Take 1-2 teaspoons of Mahasudarshan Churna mixed with honey or warm water twice daily after meals.","Herbal Steam Therapy (Swedana):
Steam therapy using herbal decoctions or essential oils such as eucalyptus, neem, or basil can help alleviate symptoms such as fever, body aches, and chills associated with malaria
Gentle massage with herbal oils such as coconut oil, sesame oil, or Mahanarayan oil can help relax the muscles, reduce body aches, and promote overall well-being during malaria recovery.
Diffusing or inhaling essential oils such as eucalyptus, peppermint, or lavender can help alleviate symptoms of malaria, including fever, nausea, and fatigue","1. Avoid mosquito bites by using mosquito repellents
2. Ensure proper sanitation and drainage around living areas","Malaria is a life-threatening infectious disease caused by Plasmodium parasites transmitted through the bite of infected mosquitoes, leading to symptoms such as fever, chills, and flu-like illness."
Typhoid(Mahat Phirana),Guduchi (Tinospora cordifolia): Guduchi is known for its immunomodulatory properties and helps enhance the body's resistance to infections. Take Guduchi powder or Guduchi churna mixed with water to boost immunity during typhoid fever.,"Taking cool or lukewarm baths with added herbal extracts such as neem, tulsi (holy basil), or mint can help reduce fever and promote relaxation
 Adding a few drops of essential oils like lavender or chamomile to the bathwater can enhance its therapeutic effects
Diffusing or inhaling essential oils such as peppermint, eucalyptus, or lemon can help alleviate symptoms of typhoid, including fever, nausea, and fatigue","1. Hygiene and Sanitation
2. Maintain proper sanitation and cleanliness in living areas
3. Ensure that drinking water is clean and safe","Typhoid is a bacterial infection caused by Salmonella typhi, typically transmitted through contaminated food or water, manifesting with prolonged fever, abdominal pain, and gastrointestinal symptoms."
Hypertension(Rakta Vata),"Medicated Herbal Oils: Various Ayurvedic herbs are infused into the base oil to enhance its therapeutic properties. Common herbs used in Shirodhara oils include Brahmi (Bacopa monnieri), Ashwagandha (Withania somnifera), Jatamansi (Nardostachys jatamansi), and Bhringraj (Eclipta alba), among others. These herbs are chosen for their calming, rejuvenating, and neuroprotective effects.","Shirodhara: Shirodhara is an Ayurvedic therapy involving the continuous pouring of warm herbal oil over the forehead, which helps calm the mind, reduce stress, and promote relaxation, thereby lowering blood pressure.","1. Follow a Pitta-pacifying diet
2. Reduce intake of salty, spicy, and oily foods
3. Ensure adequate rest and relaxation to support overall well-being and balance Vata dosha","Hypertension, or high blood pressure, is a chronic medical condition characterized by elevated blood pressure levels, often asymptomatic but posing risks to cardiovascular health."
Impetigo(Visarpa),Sariva (Hemidesmus indicus): Sariva is another blood-purifying herb that helps cool the body and promote skin health. Drinking Sariva tea or taking Sariva powder can help manage impetigo symptoms.,"Apply a warm herbal compress using antibacterial and anti-inflammatory herbs such as neem, turmeric, or licorice to the affected area
Prepare an herbal wash by infusing water with antimicrobial herbs like neem leaves or turmeric powder
Use a cool compress made with herbal decoctions such as neem or chamomile to soothe inflammation and alleviate itching","1. Maintain Skin Hygiene
2. Stay hydrated by drinking plenty of water and herbal teas
3. Avoid close contact with individuals who have impetigo 
4. Wash clothes, towels, and bedding regularly with hot water and detergent","Impetigo is a highly contagious bacterial skin infection, primarily affecting children, characterized by red sores or blisters that can break open, forming crusts."
Hepatitis B(Kamala),Bhumyamalaki (Phyllanthus niruri): Bhumyamalaki is a potent herb known for its hepatoprotective properties. It helps protect the liver from damage and supports its function. Take Bhumyamalaki capsules or powder as directed by an Ayurvedic practitioner.,"Apply a warm herbal compress over the liver area (upper right abdomen) using a cloth soaked in warm herbal decoctions or oils such as castor oil
Perform gentle self-massage using warm herbal oils such as sesame oil, coconut oil, or Mahanarayan oil
","1. Practice safe intercourse and avoid sharing needles or personal items that may come into contact with blood
2. Ensure proper sanitation and hygiene to minimize the risk of exposure to contaminated blood or bodily fluids
","Hepatitis B is a viral infection that affects the liver, transmitted through blood and body fluids, leading to symptoms ranging from mild illness to chronic liver disease."
Arthritis(Amavata),Guggul (Commiphora wightii): Guggul resin has anti-inflammatory and analgesic properties that can help alleviate arthritis symptoms. Take Guggul supplements or Guggul-based formulations as directed.,"Apply warm herbal poultices made with anti-inflammatory herbs such as ginger, turmeric, or fenugreek to the affected joints
Steam therapy using herbal decoctions or essential oils such as eucalyptus or wintergreen can help improve joint mobility, reduce stiffness, and alleviate pain

","1. Follow a Vata-pacifying diet:
2. Avoid cold, dry, and hard-to-digest foods that can aggravate Vata dosha and contribute to joint inflammation
3. Practice gentle exercises and stretching routines to improve joint flexibility
","Arthritis is a condition causing inflammation of the joints, leading to pain, swelling, and reduced mobility, with various types such as osteoarthritis and rheumatoid arthritis."
Allergy(Asatmyata),Shallaki (Boswellia serrata): Shallaki is another herb known for its anti-inflammatory properties. It helps relieve joint pain and improve mobility. Take Shallaki supplements or powder as directed.,"Ayurvedic therapy for Allergy (Asatmyata) includes identifying allergens, purifying the body through Panchakarma, herbal remedies like Turmeric and Neem, dietary adjustments, and practicing stress-relieving techniques like meditation and yoga.","1. Identify and avoid allergens that trigger allergic reactions, such as pollen, dust mites, pet dander, certain foods, or environmental pollutants
2. Use allergen-proof covers on pillows and mattresses, keep indoor spaces clean and well-ventilated, and minimize exposure to known allergens
3. Follow a Pitta-pacifying diet","Allergy is an immune system response to a substance (allergen) that is typically harmless, resulting in symptoms such as sneezing, itching, or respiratory issues."
Urinary tract infection(Mutrakrichra),Gokshura (Tribulus terrestris): Gokshura is a well-known herb in Ayurveda for its diuretic and antimicrobial properties. It helps improve urinary flow and promotes the elimination of toxins from the urinary tract. Take Gokshura supplements or powder as directed.,"
Ayurvedic therapy for Urinary Tract Infection (Mutrakrichra) involves herbal medicines like Gokshura and Chandraprabha, dietary adjustments, hydration, and lifestyle modifications, along with practices like Pranayama and adequate rest.","1. Drink plenty of fluids, especially warm water
2. Follow a Pitta-pacifying diet
3. Avoid spicy, acidic, and inflammatory foods that can aggravate Pitta dosha","Urinary tract infection (UTI) is a bacterial infection affecting the urinary system, commonly causing symptoms like frequent urination, pain, and a burning sensation during urination."
Dimorphic hemmorhoids(piles)(Arsha),Haritaki (Terminalia chebula): Haritaki is a mild laxative herb that helps promote bowel movements and alleviate constipation. Take Haritaki powder with warm water before bedtime,"Ayurvedic therapy for Dimorphic Hemorrhoids (Piles or Arsha) includes dietary changes, herbal remedies like Triphala and Arshoghna, lifestyle modifications, and practices such as Sitz baths and Kshara sutra therapy for severe cases.
","1. Follow a Vata-pacifying diet
2. Include fiber-rich foods in your diet to soften stools and promote regular bowel movements
3. Avoid straining during bowel movements","Dimorphic hemorrhoids, also known as piles, are swollen blood vessels in the rectal and anal area, presenting with symptoms such as pain, bleeding, and discomfort during bowel movements."
Psoriasis(Sidhma Kushtam),"Panchakarma herbs: Various Ayurvedic herbs and formulations may be used in different stages of Panchakarma, the comprehensive detoxification therapy in Ayurveda. These herbs include castor oil (Eranda taila), Trivrit (Operculina turpethum), and ginger (Zingiber officinale), among others.",Shodhana Chikitsa (detox) is one such therapy that aims to purify the blood and balance doshas,"1.Keep skin moisturized and avoid triggers such as stress, alcohol, and smoking.
2.Use prescribed topical treatments or medications as directed by healthcare professionals.
3.Seek medical advice for proper management and consider phototherapy or systemic treatments for severe cases.","Psoriasis is a chronic autoimmune skin disorder characterized by the rapid buildup of skin cells, resulting in red, scaly patches, itching, and inflammation."
Osteoarthristis(Sandhivata),"Shallaki (Boswellia serrata): This comprehensive herb minimizes joint damage, improves rheumatism, and reduces arthritis pain","
Ayurvedic therapy for Osteoarthritis (Sandhivata) involves herbal remedies like Shallaki, Guggulu, and Dashamoola along with therapies like Abhyanga (oil massage), Swedana (steam therapy), and specific dietary modifications.","1.Engage in regular low-impact exercises to strengthen muscles and maintain joint flexibility.
2.Maintain a healthy weight to reduce stress on weight-bearing joints.
3.Consider joint protection techniques and assistive devices for daily activities to minimize joint strain.","Osteoarthritis is a degenerative joint disease marked by the breakdown of cartilage, causing pain, stiffness, and reduced mobility, commonly associated with aging and wear and tear."
Cervical spondylosis(Griva Sandhigata Vata),Mridu Shodhana (Mild Purgation): Consider using castor oil mixed with milk or fruit pulp of Cassia fistula (Aragwadha phala majja) for gentle cleansing,"
Ayurvedic therapy for Cervical Spondylosis (Griva Sandhigata Vata) involves herbal oils, massage, heat therapy, gentle stretching exercises, dietary modifications, and lifestyle adjustments to alleviate pain and improve mobility.","1.Maintain good neck posture, especially during prolonged periods of sitting or working.
2.Engage in neck exercises and stretches to improve flexibility and reduce stiffness.
3.Use ergonomic furniture and accessories to support proper neck alignment while working or sleeping.","Cervical spondylosis is a degenerative condition affecting the neck vertebrae, leading to pain, stiffness, and sometimes numbness or weakness in the neck and upper limbs."
Hepatitis E,"Virechana: This therapy eliminates excess Pitta Dosha from the body, supporting liver detoxification","Ayurvedic therapy for Hepatitis E includes herbal remedies for liver support, dietary adjustments focusing on easily digestible foods, hydration, rest, and lifestyle modifications for complete recovery and immune system strengthening.","1.Ensure access to clean and safe drinking water to prevent waterborne transmission.
2.Practice good hygiene, including handwashing, to reduce the risk of fecal-oral transmission.
3.Avoid consuming undercooked or raw shellfish and practice proper food handling and preparation.","Hepatitis E is a viral liver infection, typically transmitted through contaminated water or food, causing symptoms similar to other forms of hepatitis, including jaundice and abdominal pain."
Hyperthyroidism(Grahi),Kachanar Guggulu: This herbal formulation supports thyroid health,"Ayurvedic therapy for Hyperthyroidism (Grahi) includes herbal formulations, dietary modifications emphasizing cooling foods, stress reduction techniques, yoga, and lifestyle adjustments to balance thyroid function and promote overall well-being.","1.Follow medical advice for prescribed antithyroid medications or other treatments.
2.Monitor thyroid function regularly through blood tests to adjust medication as needed.
3.Manage stress and adopt a balanced diet to support overall health and thyroid function.","Hyperthyroidism is a thyroid disorder characterized by excessive production of thyroid hormones, leading to symptoms such as weight loss, rapid heartbeat, and nervousness."
Varicose veins(Sira granthi),Trivrit (Operculina turpethum): This herb is a potent purgative and is commonly used in ,"Virechana: This therapy eliminates excess Pitta Dosha from the body, supporting liver detoxification","1.Stay physically active to promote good circulation and leg strength.
2.Elevate legs when resting and avoid prolonged periods of sitting or standing.
3.Wear compression stockings as recommended by a healthcare professional to alleviate symptoms and prevent worsening of varicose veins.","Varicose veins are swollen, twisted veins that usually occur in the legs, caused by weakened valves in the veins, leading to discomfort, pain, and visible, enlarged veins."
Paralysis (brain hemorrhage)(Mastishka Srava),"Mandukaparni (Centella asiatica): Mandukaparni, also known as Gotu Kola, is another herb known for its beneficial effects on brain health. It helps improve memory, concentration, and mental clarity. It can be taken orally as a supplement or used topically as an oil for scalp massage.","Ayurvedic therapy for Paralysis due to brain hemorrhage (Mastishka Srava) involves herbal medicines, Panchakarma for detoxification, physiotherapy, dietary adjustments, and lifestyle modifications to promote nerve regeneration and overall recovery.","1.Adopt a healthy lifestyle with regular exercise and a balanced diet to manage risk factors.
2.Control hypertension, a major cause of brain hemorrhage, through medication and lifestyle changes.
3.Seek immediate medical attention if experiencing symptoms like sudden severe headache, weakness, or difficulty speaking.","Paralysis due to brain hemorrhage results from bleeding in the brain, causing damage to surrounding tissues and leading to loss of muscle function or movement in specific body parts."
Drug Reaction(Aushadhi Samvedan),,,"1. Take medications as prescribed by healthcare providers and follow instructions carefully to minimize the risk of adverse drug reactions.
2. Be aware of potential drug interactions and allergic reactions, and inform healthcare providers of any medications, supplements, or substances you are taking.","Drug Reaction is an adverse response to a medication, ranging from mild side effects such as nausea to severe allergic reactions or organ damage."
Dengue(Dandaka Jvara),"Giloy (Tinospora cordifolia): Giloy is a well-known herb in Ayurveda with immunomodulatory properties. It helps boost the immune system and may aid in fighting viral infections like dengue. Giloy can be consumed in the form of capsules, powder, or as a decoction.","
Ayurvedic therapy for Dengue (Dandaka Jvara) includes herbal remedies for symptom relief, immune-boosting herbs, hydration, rest, monitoring, and preventive measures against mosquito bites for holistic management.","1.Eliminate mosquito breeding sites by emptying standing water and using insecticides.
2.Use mosquito repellent and wear long-sleeved clothing, especially during peak mosquito activity times.
3.Seek medical attention promptly if experiencing symptoms like high fever, severe headaches, and joint pain.","Dengue is a mosquito-borne viral infection causing flu-like symptoms, severe joint and muscle pain, and potentially leading to a more severe form known as dengue hemorrhagic fever."
